"date","district of columbia"
"2013-12-01",83
"2013-12-08",76
"2013-12-15",76
"2013-12-22",76
"2013-12-29",65
"2014-01-05",58
"2014-01-12",53
"2014-01-19",51
"2014-01-26",46
"2014-02-02",45
"2014-02-09",45
"2014-02-16",47
"2014-02-23",47
"2014-03-02",46
"2014-03-09",46
"2014-03-16",44
"2014-03-23",46
"2014-03-30",45
"2014-04-06",44
"2014-04-13",43
"2014-04-20",43
"2014-04-27",47
"2014-05-04",47
"2014-05-11",52
"2014-05-18",53
"2014-05-25",56
"2014-06-01",56
"2014-06-08",60
"2014-06-15",64
"2014-06-22",55
"2014-06-29",52
"2014-07-06",49
"2014-07-13",51
"2014-07-20",53
"2014-07-27",50
"2014-08-03",51
"2014-08-10",52
"2014-08-17",53
"2014-08-24",56
"2014-08-31",51
"2014-09-07",47
"2014-09-14",50
"2014-09-21",49
"2014-09-28",49
"2014-10-05",45
"2014-10-12",46
"2014-10-19",49
"2014-10-26",49
"2014-11-02",50
"2014-11-09",55
"2014-11-16",57
"2014-11-23",68
"2014-11-30",76
"2014-12-07",70
"2014-12-14",78
"2014-12-21",67
"2014-12-28",59
"2015-01-04",55
"2015-01-11",55
"2015-01-18",51
"2015-01-25",51
"2015-02-01",51
"2015-02-08",51
"2015-02-15",49
"2015-02-22",50
"2015-03-01",50
"2015-03-08",49
"2015-03-15",47
"2015-03-22",52
"2015-03-29",50
"2015-04-05",48
"2015-04-12",47
"2015-04-19",49
"2015-04-26",47
"2015-05-03",49
"2015-05-10",49
"2015-05-17",50
"2015-05-24",49
"2015-05-31",50
"2015-06-07",50
"2015-06-14",53
"2015-06-21",51
"2015-06-28",48
"2015-07-05",52
"2015-07-12",76
"2015-07-19",52
"2015-07-26",52
"2015-08-02",56
"2015-08-09",54
"2015-08-16",58
"2015-08-23",55
"2015-08-30",56
"2015-09-06",54
"2015-09-13",52
"2015-09-20",53
"2015-09-27",52
"2015-10-04",54
"2015-10-11",55
"2015-10-18",54
"2015-10-25",55
"2015-11-01",54
"2015-11-08",57
"2015-11-15",60
"2015-11-22",80
"2015-11-29",88
"2015-12-06",79
"2015-12-13",81
"2015-12-20",74
"2015-12-27",67
"2016-01-03",51
"2016-01-10",49
"2016-01-17",50
"2016-01-24",48
"2016-01-31",49
"2016-02-07",47
"2016-02-14",47
"2016-02-21",48
"2016-02-28",45
"2016-03-06",46
"2016-03-13",44
"2016-03-20",49
"2016-03-27",45
"2016-04-03",46
"2016-04-10",46
"2016-04-17",46
"2016-04-24",45
"2016-05-01",48
"2016-05-08",49
"2016-05-15",50
"2016-05-22",45
"2016-05-29",46
"2016-06-05",46
"2016-06-12",46
"2016-06-19",51
"2016-06-26",49
"2016-07-03",51
"2016-07-10",60
"2016-07-17",50
"2016-07-24",53
"2016-07-31",55
"2016-08-07",51
"2016-08-14",52
"2016-08-21",54
"2016-08-28",56
"2016-09-04",51
"2016-09-11",50
"2016-09-18",53
"2016-09-25",50
"2016-10-02",48
"2016-10-09",51
"2016-10-16",50
"2016-10-23",53
"2016-10-30",48
"2016-11-06",46
"2016-11-13",54
"2016-11-20",70
"2016-11-27",76
"2016-12-04",68
"2016-12-11",78
"2016-12-18",76
"2016-12-25",66
"2017-01-01",59
"2017-01-08",56
"2017-01-15",53
"2017-01-22",51
"2017-01-29",54
"2017-02-05",51
"2017-02-12",51
"2017-02-19",53
"2017-02-26",55
"2017-03-05",52
"2017-03-12",53
"2017-03-19",52
"2017-03-26",50
"2017-04-02",52
"2017-04-09",52
"2017-04-16",49
"2017-04-23",57
"2017-04-30",54
"2017-05-07",56
"2017-05-14",52
"2017-05-21",53
"2017-05-28",54
"2017-06-04",54
"2017-06-11",60
"2017-06-18",56
"2017-06-25",58
"2017-07-02",58
"2017-07-09",74
"2017-07-16",61
"2017-07-23",58
"2017-07-30",62
"2017-08-06",61
"2017-08-13",63
"2017-08-20",62
"2017-08-27",65
"2017-09-03",57
"2017-09-10",58
"2017-09-17",61
"2017-09-24",60
"2017-10-01",61
"2017-10-08",60
"2017-10-15",64
"2017-10-22",63
"2017-10-29",57
"2017-11-05",70
"2017-11-12",70
"2017-11-19",87
"2017-11-26",94
"2017-12-03",86
"2017-12-10",92
"2017-12-17",96
"2017-12-24",98
"2017-12-31",82
"2018-01-07",77
"2018-01-14",82
"2018-01-21",74
"2018-01-28",72
"2018-02-04",70
"2018-02-11",64
"2018-02-18",66
"2018-02-25",65
"2018-03-04",70
"2018-03-11",63
"2018-03-18",66
"2018-03-25",70
"2018-04-01",66
"2018-04-08",61
"2018-04-15",63
"2018-04-22",65
"2018-04-29",65
"2018-05-06",66
"2018-05-13",66
"2018-05-20",67
"2018-05-27",60
"2018-06-03",66
"2018-06-10",62
"2018-06-17",69
"2018-06-24",66
"2018-07-01",68
"2018-07-08",67
"2018-07-15",100
"2018-07-22",67
"2018-07-29",69
"2018-08-05",68
"2018-08-12",70
"2018-08-19",71
"2018-08-26",81
"2018-09-02",71
"2018-09-09",70
"2018-09-16",72
"2018-09-23",62
"2018-09-30",72
"2018-10-07",67
"2018-10-14",62
"2018-10-21",72
"2018-10-28",64
"2018-11-04",80
"2018-11-11",97
"2018-11-18",98
