"date","massachusetts"
"2013-12-01",95
"2013-12-08",81
"2013-12-15",81
"2013-12-22",76
"2013-12-29",65
"2014-01-05",58
"2014-01-12",57
"2014-01-19",56
"2014-01-26",53
"2014-02-02",48
"2014-02-09",51
"2014-02-16",52
"2014-02-23",50
"2014-03-02",51
"2014-03-09",53
"2014-03-16",50
"2014-03-23",50
"2014-03-30",51
"2014-04-06",50
"2014-04-13",49
"2014-04-20",50
"2014-04-27",50
"2014-05-04",50
"2014-05-11",50
"2014-05-18",50
"2014-05-25",53
"2014-06-01",53
"2014-06-08",55
"2014-06-15",56
"2014-06-22",53
"2014-06-29",53
"2014-07-06",55
"2014-07-13",53
"2014-07-20",56
"2014-07-27",54
"2014-08-03",57
"2014-08-10",56
"2014-08-17",61
"2014-08-24",59
"2014-08-31",62
"2014-09-07",58
"2014-09-14",57
"2014-09-21",56
"2014-09-28",56
"2014-10-05",55
"2014-10-12",55
"2014-10-19",60
"2014-10-26",57
"2014-11-02",59
"2014-11-09",62
"2014-11-16",66
"2014-11-23",83
"2014-11-30",90
"2014-12-07",85
"2014-12-14",87
"2014-12-21",80
"2014-12-28",74
"2015-01-04",63
"2015-01-11",62
"2015-01-18",60
"2015-01-25",60
"2015-02-01",56
"2015-02-08",57
"2015-02-15",59
"2015-02-22",55
"2015-03-01",56
"2015-03-08",56
"2015-03-15",56
"2015-03-22",55
"2015-03-29",59
"2015-04-05",55
"2015-04-12",52
"2015-04-19",56
"2015-04-26",55
"2015-05-03",56
"2015-05-10",55
"2015-05-17",57
"2015-05-24",58
"2015-05-31",60
"2015-06-07",57
"2015-06-14",60
"2015-06-21",60
"2015-06-28",61
"2015-07-05",64
"2015-07-12",84
"2015-07-19",61
"2015-07-26",63
"2015-08-02",62
"2015-08-09",65
"2015-08-16",69
"2015-08-23",68
"2015-08-30",68
"2015-09-06",67
"2015-09-13",60
"2015-09-20",63
"2015-09-27",61
"2015-10-04",62
"2015-10-11",63
"2015-10-18",63
"2015-10-25",60
"2015-11-01",62
"2015-11-08",69
"2015-11-15",71
"2015-11-22",97
"2015-11-29",99
"2015-12-06",92
"2015-12-13",94
"2015-12-20",89
"2015-12-27",75
"2016-01-03",59
"2016-01-10",54
"2016-01-17",59
"2016-01-24",56
"2016-01-31",54
"2016-02-07",53
"2016-02-14",53
"2016-02-21",51
"2016-02-28",49
"2016-03-06",52
"2016-03-13",51
"2016-03-20",52
"2016-03-27",49
"2016-04-03",53
"2016-04-10",51
"2016-04-17",51
"2016-04-24",52
"2016-05-01",53
"2016-05-08",51
"2016-05-15",54
"2016-05-22",55
"2016-05-29",53
"2016-06-05",54
"2016-06-12",52
"2016-06-19",52
"2016-06-26",53
"2016-07-03",54
"2016-07-10",65
"2016-07-17",53
"2016-07-24",53
"2016-07-31",55
"2016-08-07",52
"2016-08-14",55
"2016-08-21",59
"2016-08-28",59
"2016-09-04",61
"2016-09-11",53
"2016-09-18",52
"2016-09-25",54
"2016-10-02",53
"2016-10-09",55
"2016-10-16",55
"2016-10-23",57
"2016-10-30",53
"2016-11-06",52
"2016-11-13",61
"2016-11-20",82
"2016-11-27",89
"2016-12-04",83
"2016-12-11",84
"2016-12-18",82
"2016-12-25",79
"2017-01-01",67
"2017-01-08",62
"2017-01-15",60
"2017-01-22",59
"2017-01-29",56
"2017-02-05",55
"2017-02-12",53
"2017-02-19",55
"2017-02-26",60
"2017-03-05",56
"2017-03-12",56
"2017-03-19",57
"2017-03-26",59
"2017-04-02",58
"2017-04-09",53
"2017-04-16",56
"2017-04-23",59
"2017-04-30",62
"2017-05-07",61
"2017-05-14",60
"2017-05-21",57
"2017-05-28",59
"2017-06-04",61
"2017-06-11",67
"2017-06-18",66
"2017-06-25",62
"2017-07-02",64
"2017-07-09",88
"2017-07-16",64
"2017-07-23",70
"2017-07-30",69
"2017-08-06",67
"2017-08-13",68
"2017-08-20",68
"2017-08-27",73
"2017-09-03",70
"2017-09-10",68
"2017-09-17",66
"2017-09-24",66
"2017-10-01",64
"2017-10-08",66
"2017-10-15",71
"2017-10-22",72
"2017-10-29",66
"2017-11-05",71
"2017-11-12",77
"2017-11-19",96
"2017-11-26",100
"2017-12-03",94
"2017-12-10",97
"2017-12-17",95
"2017-12-24",90
"2017-12-31",76
"2018-01-07",73
"2018-01-14",71
"2018-01-21",71
"2018-01-28",66
"2018-02-04",65
"2018-02-11",66
"2018-02-18",66
"2018-02-25",64
"2018-03-04",65
"2018-03-11",66
"2018-03-18",65
"2018-03-25",65
"2018-04-01",64
"2018-04-08",60
"2018-04-15",64
"2018-04-22",63
"2018-04-29",62
"2018-05-06",65
"2018-05-13",61
"2018-05-20",59
"2018-05-27",62
"2018-06-03",64
"2018-06-10",67
"2018-06-17",66
"2018-06-24",68
"2018-07-01",67
"2018-07-08",69
"2018-07-15",95
"2018-07-22",69
"2018-07-29",68
"2018-08-05",68
"2018-08-12",70
"2018-08-19",69
"2018-08-26",72
"2018-09-02",72
"2018-09-09",68
"2018-09-16",66
"2018-09-23",63
"2018-09-30",63
"2018-10-07",64
"2018-10-14",64
"2018-10-21",67
"2018-10-28",65
"2018-11-04",68
"2018-11-11",75
"2018-11-18",90
